Numero;lat1;lon1
331;-84.35683;10.4436
332;-84.357;10.44412
333;-84.35727;10.44509
334;-84.35791;10.44492
335;-84.35762;10.44393
336;-84.37097;10.44642
337;-84.37007;10.44559
338;-84.36952;10.44517
339;-84.36913;10.44492
340;-84.369;10.44484
341;-84.36847;10.44453
342;-84.36789;10.44425
343;-84.3673;10.44402
344;-84.36707;10.44394
345;-84.36663;10.44382
346;-84.36639;10.44377
347;-84.36591;10.44365
348;-84.36472;10.44347
349;-84.36167;10.44302
350;-84.36102;10.44289
351;-84.35891;10.44254
352;-84.3576;10.4423
353;-84.35671;10.44208
354;-84.35626;10.44196
355;-84.35587;10.44186
356;-84.35222;10.44099
357;-84.35153;10.43767
358;-84.34994;10.43754
359;-84.34966;10.43751
360;-84.34737;10.43731
361;-84.347;10.43728
362;-84.34535;10.43712
363;-84.34465;10.43705
364;-84.37142;10.44689
365;-84.37097;10.44642
366;-84.35222;10.44099
367;-84.3518;10.43901
368;-84.35163;10.43816
369;-84.35153;10.43767
370;-84.3514;10.43693
371;-84.3512;10.43642
372;-84.35076;10.43622
373;-84.3506;10.43612
374;-84.35027;10.43534
375;-84.35016;10.43512
376;-84.34962;10.43491
377;-84.34904;10.43441
378;-84.3479;10.43384
379;-84.34768;10.4336
380;-84.34756;10.43327
381;-84.34711;10.43267
382;-84.34672;10.43185
383;-84.34671;10.43167
384;-84.34669;10.43128
385;-84.34666;10.43047
386;-84.34658;10.43027
387;-84.34651;10.43019
388;-84.34642;10.43013
389;-84.34617;10.42996
390;-84.34612;10.42992
391;-84.34609;10.42987
392;-84.34605;10.42984
393;-84.346;10.42981
394;-84.35763;10.44336
395;-84.35683;10.4436
396;-84.35562;10.44395
397;-84.35755;10.44293
398;-84.35668;10.44316
399;-84.35559;10.44346
400;-84.28262;10.37468
401;-84.28228;10.37452
402;-84.28228;10.37452
403;-84.28211;10.37444
404;-84.2819;10.37434
405;-84.28146;10.37413
406;-84.28106;10.37396
407;-84.28032;10.37367
408;-84.27916;10.3732
409;-84.27789;10.37272
410;-84.27707;10.37238
411;-84.27681;10.37227
412;-84.27654;10.37212
413;-84.2763;10.37196
414;-84.27612;10.37178
415;-84.27597;10.37162
416;-84.2758;10.37138
417;-84.27545;10.37079
418;-84.27525;10.37042
419;-84.27429;10.36883
420;-84.27406;10.3684
421;-84.27391;10.36811
422;-84.27377;10.36777
423;-84.27364;10.3674
424;-84.27353;10.36698
425;-84.27346;10.36665
426;-84.2734;10.36626
427;-84.27334;10.36572
428;-84.27323;10.36468
429;-84.27319;10.36431
430;-84.27319;10.36406
431;-84.27319;10.36389
432;-84.27321;10.36371
433;-84.2733;10.36314
434;-84.27356;10.36173
435;-84.27371;10.36107
436;-84.27397;10.35998
437;-84.27412;10.35936
438;-84.27419;10.35909
439;-84.27426;10.3587
440;-84.27443;10.35781
441;-84.27449;10.35732
442;-84.2745;10.35719
443;-84.27452;10.35706
444;-84.27452;10.35702
